Date : 2026-05-06 15:56:17
Directory : /www/wwwroot/rackroom.local.host/rackroom
Total : 319 files,  61136 codes, 2605 comments, 5639 blanks, all 69380 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| resources/js/pages/auth                                                                                                           |          7 |        635 |          2 |         51 |        688 |
| resources/js/pages/settings                                                                                                       |          4 |        468 |          0 |         52 |        520 |
| resources/js/types                                                                                                                |          5 |         56 |          1 |         14 |         71 |
| resources/views                                                                                                                   |          1 |         42 |          0 |         11 |         53 |
| routes                                                                                                                            |          5 |        196 |         48 |         48 |        292 |
| scripts                                                                                                                           |          3 |        315 |         34 |         59 |        408 |
| tests                                                                                                                             |         19 |        701 |         32 |        240 |        973 |
| tests (Files)                                                                                                                     |          2 |         16 |         32 |         11 |         59 |
| tests/Feature                                                                                                                     |         16 |        681 |          0 |        227 |        908 |
| tests/Feature (Files)                                                                                                             |          6 |        252 |          0 |         65 |        317 |
| tests/Feature/Auth                                                                                                                |          7 |        265 |          0 |        109 |        374 |
| tests/Feature/Settings                                                                                                            |          3 |        164 |          0 |         53 |        217 |
| tests/Unit                                                                                                                        |          1 |          4 |          0 |          2 |          6 |
+-----------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                          | language           | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /www/wwwroot/rackroom.local.host/rackroom/.agents/skills/developing-with-fortify/SKILL.md                                         | Skill              |         84 |          0 |         32 |        116 |
| /www/wwwroot/rackroom.local.host/rackroom/.agents/skills/inertia-react-development/SKILL.md                                       | Skill              |        270 |          0 |         99 |        369 |
| /www/wwwroot/rackroom.local.host/rackroom/.agents/skills/pest-testing/SKILL.md                                                    | Skill              |         81 |          0 |         41 |        122 |
| /www/wwwroot/rackroom.local.host/rackroom/.agents/skills/tailwindcss-development/SKILL.md                                         | Skill              |         92 |          0 |         32 |        124 |
| /www/wwwroot/rackroom.local.host/rackroom/.agents/skills/wayfinder-development/SKILL.md                                           | Skill              |         57 |          0 |         32 |         89 |
| /www/wwwroot/rackroom.local.host/rackroom/.claude/skills/developing-with-fortify/SKILL.md                                         | Skill              |         84 |          0 |         32 |        116 |
| /www/wwwroot/rackroom.local.host/rackroom/.claude/skills/inertia-react-development/SKILL.md                                       | Skill              |        270 |          0 |         99 |        369 |
| /www/wwwroot/rackroom.local.host/rackroom/.claude/skills/pest-testing/SKILL.md                                                    | Skill              |         81 |          0 |         41 |        122 |
| /www/wwwroot/rackroom.local.host/rackroom/.claude/skills/tailwindcss-development/SKILL.md                                         | Skill              |         92 |          0 |         32 |        124 |
| /www/wwwroot/rackroom.local.host/rackroom/.claude/skills/wayfinder-development/SKILL.md                                           | Skill              |         57 |          0 |         32 |         89 |
| /www/wwwroot/rackroom.local.host/rackroom/.cursor/mcp.json                                                                        | JSON with Comments |         11 |          0 |          0 |         11 |
| /www/wwwroot/rackroom.local.host/rackroom/.cursor/skills/developing-with-fortify/SKILL.md                                         | Skill              |         84 |          0 |         32 |        116 |
| /www/wwwroot/rackroom.local.host/rackroom/.cursor/skills/inertia-react-development/SKILL.md                                       | Skill              |        270 |          0 |         99 |        369 |
| /www/wwwroot/rackroom.local.host/rackroom/.cursor/skills/pest-testing/SKILL.md                                                    | Skill              |         81 |          0 |         41 |        122 |
| /www/wwwroot/rackroom.local.host/rackroom/.cursor/skills/tailwindcss-development/SKILL.md                                         | Skill              |         92 |          0 |         32 |        124 |
| /www/wwwroot/rackroom.local.host/rackroom/.cursor/skills/wayfinder-development/SKILL.md                                           | Skill              |         57 |          0 |         32 |         89 |
| /www/wwwroot/rackroom.local.host/rackroom/.gemini/settings.json                                                                   | JSON with Comments |         11 |          0 |          0 |         11 |
| /www/wwwroot/rackroom.local.host/rackroom/.github/skills/developing-with-fortify/SKILL.md                                         | Skill              |         84 |          0 |         32 |        116 |
| /www/wwwroot/rackroom.local.host/rackroom/.github/skills/inertia-react-development/SKILL.md                                       | Skill              |        270 |          0 |         99 |        369 |
| /www/wwwroot/rackroom.local.host/rackroom/.github/skills/pest-testing/SKILL.md                                                    | Skill              |         81 |          0 |         41 |        122 |
